Time,Flux,Flux_err
2458334.8167706435,6371.437,11.689477
2458334.818159532,6374.5127,11.689932
2458334.81954842,6359.427,11.68492
2458334.820937308,6379.454,11.700846
2458334.8223261964,6361.294,11.714773
2458334.8237150847,6360.372,11.674432
2458334.825103973,6361.115,11.671867
2458334.826492861,6364.6016,11.684367
2458334.8278817493,6367.3945,11.677328
2458334.8292706376,6372.588,11.679873
2458334.830659526,6354.546,11.673523
2458334.8320484143,6365.0674,11.681165
2458334.8334373026,6356.4307,11.676485
2458334.8348261905,6353.1807,11.678562
2458334.836215079,6358.118,11.683508
2458334.837603967,6393.9043,11.69148
2458334.8389928555,6364.2695,11.685899
2458334.840381744,6353.6177,11.676252
2458334.841770632,6378.8286,11.675793
2458334.84315952,6368.2627,11.673033
2458334.8445484084,6371.817,11.67896
2458334.8459372967,6364.2866,11.681351
2458334.8473261846,6354.343,11.67578
2458334.848715073,6348.6973,11.673562
2458334.8501039613,6370.808,11.68185
2458334.851492849,6356.866,11.674402
2458334.852881737,6356.6816,11.661668
2458334.854270626,6336.888,11.659829
2458334.855659514,6388.626,11.683099
2458334.857048402,6378.608,11.684724
2458334.8584372904,6370.093,11.664028
2458334.8598261788,6370.14,11.672469
2458334.861215067,6365.183,11.673354
2458334.862603955,6368.022,11.671308
2458334.863992844,6356.6553,11.666804
2458334.865381732,6361.654,11.678069
2458334.86677062,6362.875,11.670755
2458334.868159508,6364.0605,11.674751
2458334.869548396,6365.6895,11.669866
2458334.8709372845,6352.032,11.686912
2458334.872326173,6379.561,11.671028
2458334.8737150608,6330.879,11.657144
2458334.875103949,6404.2935,11.683391
2458334.876492837,6347.935,11.665745
2458334.8778817253,6362.4756,11.670744
2458334.8792706137,6356.451,11.678756
2458334.880659502,6356.131,11.666603
2458334.88204839,6387.38,11.670702
2458334.883437278,6361.6978,11.672564
2458334.884826166,6370.223,11.668332
2458334.8862150544,6354.7905,11.662411
2458334.887603943,6354.2495,11.670513
2458334.88899283,6379.263,11.67123
2458334.890381719,6368.3594,11.670108
2458334.891770608,6371.047,11.679359
2458334.893159495,6370.514,11.6711445
2458334.8945483835,6343.65,11.664645
2458334.895937272,6380.7583,11.675002
2458334.89732616,6373.65,11.667648
2458334.898715048,6391.239,11.663839
2458334.9001039364,6357.6753,11.67041
2458334.9014928243,6372.912,11.676327
2458334.9028817127,6362.9546,11.663096
2458334.904270601,6366.8896,11.672441
2458334.905659489,6378.4146,11.666093
2458334.907048377,6358.63,11.66016
2458334.908437265,6375.937,11.663197
2458334.9098261534,6373.4297,11.683353
2458334.9112150418,6380.4893,11.6953125
2458334.9126039296,6390.9062,11.677674
2458334.913992818,6365.2266,11.665073
2458334.9153817063,6335.369,11.6527815
2458334.916770594,6392.476,11.670236
2458334.9181594825,6373.9756,11.670708
2458334.9195483704,6351.5,11.662874
2458334.9209372583,6362.075,11.661747
2458334.9223261466,6363.7046,11.659576
2458334.923715035,6385.4937,11.668825
2458334.925103923,6358.878,11.676336
2458334.927881699,6364.32,11.663316
2458334.9292705874,6392.9346,11.679428
2458334.9306594757,6376.316,11.665975
2458334.932048364,6368.412,11.663391
2458334.933437252,6350.981,11.655767
2458334.93482614,6359.951,11.673964
2458334.936215028,6366.183,11.662203
2458334.937603916,6371.3745,11.664043
2458334.9389928044,6365.271,11.655457
2458334.9403816923,6370.189,11.654793
2458334.9417705806,6359.2163,11.649557
2458334.9431594685,6357.5337,11.673226
2458334.944548357,6352.0513,11.664905
2458334.9459372447,6371.2773,11.680193
2458334.947326133,6369.3447,11.660066
2458334.9487150214,6372.121,11.64931
2458334.950103909,6343.85,11.650999
2458334.9514927976,6349.9927,11.658997
2458334.952881685,6351.6973,11.65333
2458334.954270574,6361.2695,11.652792
2458334.9556594617,6359.559,11.667518
2458334.957048349,6397.4473,11.672278
2458334.9598261258,6364.4497,11.665621
2458334.961215014,6362.428,11.656881
2458334.962603902,6358.112,11.644274
2458334.96399279,6361.4546,11.647383
2458334.965381678,6367.8623,11.667858
2458334.966770566,6385.803,11.672196
2458334.9681594544,6379.052,11.661653
2458334.9695483423,6359.5396,11.646563
2458334.9709372306,6351.6113,11.646048
