Time,Flux,Flux err
2458325.298686084,6372.3853,11.585357
2458325.3000749797,6383.939,11.601527
2458325.301463876,6358.961,11.599901
2458325.3028527717,6361.654,11.601834
2458325.3042416675,6351.062,11.599638
2458325.3056305633,6382.954,11.618442
2458325.3070194595,6366.457,11.611968
2458325.3084083553,6355.5073,11.61134
2458325.309797251,6363.348,11.614061
2458325.3111861474,6368.4346,11.60817
2458325.312575043,6347.1113,11.60908
2458325.313963939,6376.8564,11.618936
2458325.3153528348,6384.972,11.653321
2458325.316741731,6371.407,11.635713
2458325.318130627,6360.059,11.625322
2458325.3195195226,6374.4443,11.638931
2458325.320908419,6367.123,11.637397
2458325.3222973146,6357.3823,11.638856
2458325.3236862104,6378.8564,11.645866
2458325.3250751067,6363.207,11.648607
2458325.3264640025,6370.085,11.647288
2458325.3278528983,6348.637,11.64859
2458325.329241794,6372.0737,11.6571
2458325.33063069,6359.55,11.659408
2458325.332019586,6350.5137,11.65153
2458325.333408482,6353.163,11.673232
2458325.3347973777,6358.747,11.663839
2458325.3361862735,6345.6733,11.66146
2458325.3375751697,6326.265,11.653934
2458325.3389640655,6356.049,11.670147
2458325.3403529613,6361.191,11.673926
2458325.3417418576,6367.1245,11.683029
2458325.3431307534,6353.2085,11.677858
2458325.344519649,6375.9385,11.693044
2458325.3459085454,6367.7905,11.692007
2458325.347297441,6355.8267,11.6887
2458325.348686337,6375.545,11.711702
2458325.3500752333,6354.4536,11.696043
2458325.351464129,6373.5986,11.7143345
2458325.352853025,6351.2407,11.70738
2458325.354241921,6374.2056,11.711145
2458325.355630817,6347.3105,11.69571
2458325.3570197127,6361.444,11.7147455
2458325.358408609,6366.4097,11.722408
2458325.3597975047,6366.75,11.713355
2458325.3611864005,6344.6733,11.71085
2458325.362575297,6359.891,11.721223
2458325.3639641926,6372.548,11.721087
2458325.3653530884,6357.132,11.718049
2458325.366741984,6357.516,11.7140045
2458325.3681308804,6380.26,11.734558
2458325.369519776,6399.2075,11.740517
2458325.370908672,6364.781,11.722294
2458325.3722975682,6364.264,11.721797
2458325.373686464,6352.23,11.72608
2458325.37507536,6341.1934,11.718416
2458325.376464256,6358.317,11.731979
2458325.377853152,6360.689,11.730232
2458325.3792420477,6341.3545,11.719705
2458325.380630944,6375.0757,11.73482
2458325.3820198397,6369.011,11.745487
2458325.3834087355,6355.012,11.742793
2458325.3847976318,6358.651,11.735799
2458325.3861865276,6333.4604,11.729371
2458325.3875754233,6343.81,11.750456
2458325.3889643196,6371.42,11.754765
2458325.3903532154,6371.6177,11.753871
2458325.3917421116,6358.9585,11.754731
2458325.3931310074,6364.9863,11.748834
2458325.394519903,6347.4717,11.74178
2458325.3959087995,6354.07,11.743657
2458325.3972976953,6366.274,11.748811
2458325.398686591,6345.703,11.738216
2458325.4000754873,6371.3135,11.7638035
2458325.401464383,6368.4473,11.761393
2458325.402853279,6365.348,11.760237
2458325.4042421747,6374.425,11.742032
2458325.405631071,6352.0854,11.740424
2458325.4070199667,6376.574,11.756182
2458325.408408863,6363.274,11.750606
2458325.409797759,6368.389,11.754159
2458325.4111866546,6366.9224,11.75387
2458325.412575551,6373.1177,11.763227
2458325.4139644466,6357.19,11.75885
2458325.4153533424,6370.9307,11.76042
2458325.4167422387,6350.891,11.749593
2458325.4181311345,6365.2363,11.770314
2458325.4195200307,6385.2666,11.776307
2458325.4209089265,6368.1626,11.75408
2458325.4222978223,6338.759,11.751157
2458325.4236867186,6350.8384,11.749485
2458325.4250756144,6337.588,11.747268
2458325.4264645106,6366.2036,11.761992
2458325.4278534064,6355.116,11.753637
2458325.429242302,6369.712,11.76237
2458325.4306311985,6366.063,11.758342
2458325.4320200942,6349.3286,11.754589
2458325.4334089905,6367.607,11.760104
2458325.4347978863,6355.0693,11.763064
2458325.436186782,6381.22,11.77253
2458325.4375756783,6365.6855,11.769155
2458325.438964574,6368.02,11.765411
2458325.44035347,6370.343,11.76603
2458325.441742366,6365.822,11.769178
2458325.443131262,6380.6274,11.784585
2458325.4445201578,6341.6484,11.753726
2458325.445909054,6353.4106,11.766182
2458325.44729795,6374.6934,11.778786
2458325.448686846,6366.0093,11.768349
2458325.450075742,6379.685,11.780199
2458325.451464638,6368.828,11.774118
2458325.452853534,6351.3467,11.766097
2458325.4542424297,6357.1206,11.767668
2458325.455631326,6357.858,11.773769
2458325.4570202217,6390.4272,11.780782
2458325.458409118,6345.9233,11.765408
2458325.459798014,6358.954,11.7693405
2458325.46118691,6400.0244,11.794441
2458325.462575806,6371.767,11.783986
2458325.4639647016,6359.1875,11.769012
2458325.465353598,6352.931,11.770383
2458325.4667424937,6341.7603,11.769822
2458325.46813139,6353.3105,11.77504
2458325.4695202857,6361.414,11.779051
2458325.470909182,6359.306,11.778215
2458325.472298078,6368.0596,11.777992
2458325.4736869736,6384.204,11.795395
2458325.4750758694,6358.212,11.79083
2458325.4764647656,6353.612,11.778972
2458325.4778536614,6353.552,11.787238
2458325.4792425577,6370.759,11.805452
2458325.4806314535,6366.857,11.788377
2458325.4820203497,6379.51,11.795352
2458325.4834092455,6368.1084,11.792977
2458325.4847981418,6373.696,11.80183
2458325.4861870375,6375.6104,11.806442
2458325.487575934,6369.2583,11.79143
2458325.4889648296,6377.08,11.797215
2458325.4903537254,6351.4834,11.799584
2458325.4917426216,6371.699,11.799114
2458325.4931315174,6360.8765,11.795635
2458325.4945204137,6354.805,11.800422
2458325.4959093095,6367.1235,11.798117
2458325.4972982057,6368.9624,11.799684
2458325.4986871015,6372.2944,11.801319
2458325.500075998,6353.779,11.817255
