Time,Flux,Flux_err
2458332.0181575217,6360.8164,11.738408
2458332.0195464133,6388.8535,11.724945
2458332.020935305,6338.101,11.716016
2458332.022324196,6359.7656,11.73495
2458332.023713088,6370.7427,11.730454
2458332.0251019797,6386.1553,11.73948
2458332.0264908704,6365.1504,11.739353
2458332.027879762,6336.5815,11.714364
2458332.0292686536,6364.462,11.72211
2458332.0306575447,6380.4097,11.730506
2458332.0320464363,6382.09,11.73579
2458332.033435328,6378.2495,11.743086
2458332.034824219,6381.601,11.719806
2458332.0362131107,6362.5415,11.741226
2458332.0376020023,6373.425,11.725897
2458332.0389908934,6357.498,11.7164545
2458332.040379785,6361.9185,11.720913
2458332.0417686766,6382.8955,11.725876
2458332.043157568,6364.5986,11.730462
2458332.04454646,6369.6255,11.743953
2458332.045935351,6355.323,11.728454
2458332.047324242,6361.1426,11.720736
2458332.048713133,6358.057,11.71984
2458332.050102025,6376.0195,11.723897
2458332.0514909164,6347.0156,11.727884
2458332.0528798075,6381.9985,11.730475
2458332.054268699,6364.5728,11.722172
2458332.0556575903,6350.6147,11.718849
2458332.057046482,6378.0454,11.735112
2458332.058435373,6363.6523,11.724724
2458332.0598242646,6367.2046,11.729064
2458332.061213156,6376.7427,11.729304
2458332.062602048,6372.7173,11.721173
2458332.063990939,6339.3203,11.713979
2458332.0653798305,6380.188,11.734169
2458332.0667687217,6357.331,11.72336
2458332.0681576133,6366.986,11.72569
2458332.0695465044,6365.1934,11.721162
2458332.070935396,6370.7793,11.725058
2458332.072324287,6349.5938,11.726421
2458332.0737131787,6349.183,11.721599
2458332.0751020703,6362.8477,11.726558
2458332.076490961,6362.593,11.739309
2458332.077879853,6394.5166,11.734637
2458332.079268744,6343.7393,11.718818
2458332.080657636,6358.34,11.725961
2458332.082046527,6380.7666,11.729589
2458332.083435418,6356.3506,11.721391
2458332.0848243097,6375.407,11.731334
2458332.086213201,6358.4795,11.724965
2458332.0876020924,6367.956,11.720743
2458332.088990984,6360.521,11.725012
2458332.090379875,6375.9336,11.735176
2458332.0917687668,6366.6274,11.73482
2458332.093157658,6361.78,11.731214
2458332.094546549,6352.8335,11.720917
2458332.0959354406,6374.311,11.727435
2458332.097324332,6378.666,11.718913
2458332.098713224,6348.712,11.72526
2458332.100102115,6359.2573,11.729091
2458332.101491006,6371.4243,11.728758
2458332.1028798977,6369.6235,11.721206
2458332.1056576804,6366.0273,11.725617
2458332.107046572,6360.801,11.734776
2458332.108435463,6365.6255,11.7203455
2458332.1098243543,6353.4355,11.722302
2458332.111213246,6373.5347,11.724823
2458332.112602137,6364.1045,11.719953
2458332.1139910286,6367.0396,11.734399
2458332.11537992,6360.323,11.732784
2458332.116768811,6366.463,11.719561
2458332.1181577025,6367.5645,11.7259655
2458332.1195465936,6363.5977,11.725014
2458332.1209354848,6381.44,11.738865
2458332.1223243764,6384.2607,11.730776
2458332.1237132675,6367.635,11.730643
2458332.125102159,6371.195,11.738379
2458332.1264910502,6370.1245,11.73335
2458332.127879942,6353.5156,11.72318
2458332.129268833,6367.641,11.72806
2458332.130657724,6361.388,11.728094
2458332.132046616,6363.045,11.729888
2458332.133435507,6359.313,11.736575
2458332.1348243984,6349.3745,11.731737
2458332.1362132896,6372.8423,11.732808
2458332.137602181,6377.837,11.733668
2458332.1389910723,6363.2227,11.724124
2458332.1403799634,6352.64,11.7241955
2458332.141768855,6371.2036,11.749576
2458332.143157746,6365.21,11.749856
2458332.144546638,6379.2993,11.735701
2458332.145935529,6367.785,11.751496
2458332.14732442,6384.8164,11.739289
2458332.148713312,6388.71,11.747684
2458332.150102203,6359.9683,11.734421
2458332.1514910944,6365.136,11.728686
2458332.152879985,6363.852,11.749033
2458332.1542688766,6361.935,11.729579
2458332.155657768,6348.277,11.734793
2458332.1570466594,6378.1094,11.731905
2458332.1584355505,6367.204,11.729508
2458332.1598244417,6356.5957,11.727898
2458332.1612133333,6361.226,11.733388
2458332.1626022244,6382.202,11.743472
2458332.1639911155,6358.2397,11.730182
2458332.165380007,6361.6147,11.722317
2458332.1667688983,6368.7827,11.735142
2458332.16815779,6348.328,11.729251
2458332.169546681,6353.6973,11.728768
2458332.170935572,6371.2734,11.737872
2458332.172324464,6372.727,11.74088
2458332.173713355,6374.608,11.74419
