Time,Flux,Flux_err
2459076.439995201,6283.1743,10.889515
2459076.4413840747,6286.7466,10.890976
2459076.4427729486,6278.084,10.88552
2459076.444161822,6304.045,10.900461
2459076.445550696,6301.835,10.902602
2459076.44693957,6280.9297,10.893501
2459076.448328444,6289.1,10.898058
2459076.449717317,6282.7476,10.892432
2459076.4511061907,6287.3687,10.894336
2459076.4524950646,6267.07,10.889675
2459076.4538839385,6276.431,10.879252
2459076.455272812,6284.855,10.890132
2459076.456661686,6288.5454,10.89305
2459076.45805056,6270.986,10.882931
2459076.4594394336,6264.4004,10.874668
2459076.460828307,6293.2417,10.896887
2459076.462217181,6295.5854,10.89476
2459076.463606055,6296.5093,10.894231
2459076.4649949283,6287.26,10.8949375
2459076.4663838022,6299.412,10.890943
2459076.467772676,6278.3564,10.888268
2459076.4691615496,6292.3145,10.8881235
2459076.470550423,6283.5723,10.885953
2459076.471939297,6282.898,10.892629
2459076.473328171,6266.0083,10.88351
2459076.4747170447,6283.218,10.891654
2459076.476105918,6289.436,10.897759
2459076.477494792,6276.863,10.895441
2459076.478883665,6283.948,10.888617
2459076.480272539,6274.7705,10.881269
2459076.481661413,6273.708,10.899202
2459076.483050287,6278.657,10.898445
2459076.48443916,6267.3105,10.878593
2459076.485828034,6291.111,10.884673
2459076.487216908,6282.059,10.893716
2459076.488605781,6279.8633,10.888975
2459076.489994656,6283.109,10.889008
2459076.491383529,6275.3677,10.891528
2459076.4927724022,6286.3667,10.8931265
2459076.494161276,6275.019,10.882394
2459076.4955501496,6273.3794,10.892164
2459076.4969390235,6294.293,10.895839
2459076.4983278974,6282.7764,10.8867235
2459076.499716771,6282.064,10.890822
2459076.5011056443,6301.595,10.898138
2459076.502494518,6279.501,10.889908
2459076.503883392,6273.587,10.88614
2459076.505272265,6297.9883,10.897651
2459076.506661139,6293.977,10.8978
2459076.508050013,6276.153,10.881113
2459076.5094388863,6279.0415,10.888787
2459076.51082776,6276.5317,10.901116
2459076.5122166337,6274.787,10.879421
2459076.513605508,6286.538,10.896012
2459076.514994381,6286.897,10.890839
2459076.5163832544,6279.979,10.879112
2459076.5177721283,6283.529,10.890817
2459076.519161002,6281.821,10.898394
2459076.520549876,6282.679,10.886941
2459076.521938749,6275.387,10.890756
2459076.523327623,6282.187,10.885041
2459076.5247164965,6304.058,10.899651
2459076.5261053704,6310.6055,10.899067
2459076.527494244,6288.033,10.890249
2459076.5288831173,6277.877,10.88448
2459076.530271991,6282.2905,10.885616
2459076.5316608646,6283.4,10.877524
2459076.533049738,6282.8,10.891491
2459076.534438612,6274.1963,10.8835535
2459076.5358274854,6259.887,10.88152
2459076.537216359,6262.3545,10.878339
2459076.5386052327,6281.426,10.887769
2459076.539994106,6278.1587,10.885319
2459076.54138298,6290.678,10.889306
2459076.542771853,6260.7466,10.887039
2459076.544160727,6280.597,10.892895
2459076.545549601,6284.109,10.881342
2459076.546938474,6271.8896,10.881454
2459076.548327348,6286.1895,10.889683
2459076.549716221,6285.3267,10.894804
2459076.551105095,6298.5396,10.896653
2459076.5524939685,6284.5093,10.889165
2459076.553882842,6290.8164,10.896824
2459076.555271716,6282.7124,10.891542
2459076.5566605893,6280.3657,10.884076
2459076.5580494627,6286.045,10.892452
2459076.559438336,6282.145,10.886266
2459076.56082721,6261.3203,10.880023
2459076.5622160835,6289.6846,10.893334
2459076.563604957,6271.951,10.893623
2459076.5649938304,6279.633,10.895687
2459076.5663827043,6281.2134,10.886457
2459076.5677715777,6277.4917,10.885088
2459076.569160451,6285.8647,10.88743
2459076.5705493246,6283.321,10.889838
2459076.5719381985,6298.119,10.902808
2459076.573327072,6286.743,10.907778
2459076.5747159454,6287.8965,10.8924055
2459076.576104819,6295.3086,10.8923025
2459076.5774936927,6275.18,10.8836355
2459076.578882566,6273.204,10.88498
2459076.58027144,6287.1514,10.882805
2459076.581660313,6288.0273,10.884853
2459076.5830491865,6276.8867,10.886006
2459076.58443806,6278.5796,10.887015
2459076.585826934,6283.4634,10.878195
2459076.5872158078,6279.0635,10.887737
2459076.5886046807,6288.792,10.892678
2459076.589993554,6262.5757,10.880588
2459076.591382428,6271.6436,10.885032
2459076.592771301,6299.4053,10.893306
2459076.5941601745,6264.3257,10.880245
2459076.5955490484,6283.1733,10.8883095
2459076.596937922,6253.4326,10.8775835
2459076.5983267957,6288.0947,10.889658
2459076.5997156687,6271.8716,10.88298
2459076.601104542,6266.6704,10.887605
2459076.602493416,6293.329,10.901826
2459076.603882289,6296.3125,10.896197
2459076.6052711625,6280.708,10.899976
2459076.6066600364,6272.7383,10.890193
2459076.60804891,6296.879,10.893623
2459076.6094377832,6275.5615,10.888017
2459076.6108266567,6272.673,10.888245
2459076.61221553,6281.0967,10.887697
2459076.613604404,6245.4175,10.864991
2459076.614993277,6285.3516,10.886539
2459076.6163821504,6292.516,10.894397
2459076.617771024,6303.532,10.90943
2459076.6191598973,6286.7275,10.885448
2459076.6205487708,6285.368,10.892134
2459076.621937644,6269.156,10.883546
2459076.623326518,6278.135,10.887591
2459076.624715391,6289.3945,10.890605
2459076.6261042645,6262.5156,10.880746
2459076.6274931384,6283.71,10.898309
2459076.628882012,6287.8027,10.891627
2459076.630270885,6276.4736,10.88452
2459076.6316597587,6266.186,10.891583
2459076.633048632,6267.868,10.879632
2459076.634437505,6266.948,10.883539
2459076.6358263786,6276.5645,10.891065
2459076.6372152525,6291.7573,10.895948
2459076.638604126,6295.1763,10.888144
2459076.639992999,6264.218,10.877716
2459076.6413818724,6293.9683,10.891412
2459076.6427707463,6285.858,10.883879
2459076.64415962,6269.359,10.887302
2459076.6455484927,6281.762,10.894241
2459076.646937366,6285.2715,10.898259
2459076.6483262395,6295.92,10.90879
2459076.649715113,6280.9556,10.88861
2459076.6511039864,6265.8433,10.877467
2459076.65249286,6298.6265,10.898623
2459076.6538817333,6282.946,10.892705
2459076.6552706067,6313.2734,10.902854
2459076.65665948,6278.8887,10.88905
2459076.6580483536,6286.656,10.883952
2459076.659437227,6288.586,10.895728
2459076.6608261,6287.4443,10.897468
2459076.662214973,6275.409,10.884373
2459076.663603847,6274.0522,10.883014
2459076.6649927204,6269.9673,10.883851
2459076.666381594,6244.804,10.875343
2459076.6677704672,6218.9,10.856242
2459076.6691593407,6240.6133,10.861565
2459076.670548214,6202.486,10.848739
2459076.671937088,6221.0146,10.854465
2459076.673325961,6210.818,10.847402
2459076.6747148344,6187.0586,10.8311615
2459076.6761037074,6206.3945,10.839489
2459076.677492581,6183.0293,10.83324
2459076.6788814543,6200.56,10.839513
2459076.6802703277,6189.0474,10.845952
2459076.6816592007,6187.3364,10.845443
2459076.683048074,6200.1436,10.844554
2459076.684436948,6179.6587,10.829988
2459076.685825821,6196.0806,10.835545
2459076.6872146945,6190.3457,10.834274
2459076.688603568,6170.8413,10.824571
2459076.6899924413,6198.4287,10.837669
2459076.6913813143,6181.932,10.835763
2459076.692770188,6186.624,10.834119
2459076.694159061,6165.0737,10.822888
2459076.6955479346,6185.7056,10.832965
2459076.696936808,6172.8345,10.8242655
2459076.698325681,6176.527,10.823953
2459076.6997145545,6174.37,10.8230295
2459076.7011034274,6191.539,10.843656
2459076.702492301,6194.948,10.835128
2459076.7038811743,6185.7227,10.840436
2459076.705270048,6169.999,10.825059
2459076.7066589207,6179.2344,10.828623
2459076.708047794,6167.353,10.827678
2459076.709436668,6167.161,10.82317
2459076.710825541,6171.3325,10.832677
2459076.712214414,6171.515,10.814677
2459076.7136032875,6186.398,10.846943
2459076.714992161,6181.2334,10.8301
2459076.7163810343,6177.8096,10.828354
2459076.717769908,6178.576,10.836838
2459076.7191587808,6183.2793,10.842
2459076.720547654,6168.217,10.827921
2459076.721936527,6162.4717,10.817686
2459076.7233254006,6159.1055,10.820162
2459076.724714274,6166.3623,10.827897
2459076.7261031475,6188.8613,10.830477
2459076.7274920205,6189.726,10.837891
2459076.728880894,6184.14,10.839222
2459076.730269768,6200.192,10.840773
2459076.7316586403,6172.736,10.821782
2459076.7330475138,6185.75,10.831715
2459076.734436387,6193.8394,10.838018
2459076.73582526,6192.413,10.836245
2459076.7372141336,6200.1636,10.844392
2459076.7386030066,6200.0,10.839764
2459076.73999188,6194.119,10.842748
2459076.741380753,6193.926,10.838972
2459076.7427696264,6199.1567,10.840548
2459076.7441585,6198.6504,10.837026
2459076.7455473733,6197.6772,10.841663
2459076.7469362463,6215.741,10.85352
2459076.74832512,6236.0547,10.871998
2459076.7497139927,6240.1797,10.868587
2459076.751102866,6228.01,10.8625345
2459076.752491739,6258.9126,10.877965
2459076.753880613,6269.1978,10.889515
2459076.755269486,6270.9814,10.892961
2459076.756658359,6278.827,10.892158
2459076.7580472324,6288.174,10.891884
2459076.7594361054,6287.409,10.897004
2459076.760824979,6270.897,10.891388
2459076.7622138523,6308.4897,10.895535
2459076.763602725,6268.782,10.883578
2459076.764991598,6290.781,10.899657
2459076.766380472,6292.4316,10.89566
2459076.7677693446,6286.986,10.892532
2459076.769158218,6275.374,10.887117
2459076.7705470915,6277.0996,10.900942
2459076.7719359645,6268.635,10.887277
2459076.773324837,6269.403,10.88758
2459076.774713711,6284.89,10.895582
2459076.7761025843,6285.272,10.892883
2459076.7774914573,6281.7134,10.894814
2459076.7788803303,6274.564,10.888521
2459076.780269204,6266.643,10.8814125
2459076.781658077,6285.725,10.895823
2459076.78304695,6294.1753,10.897879
2459076.784435823,6302.209,10.899601
2459076.7858246965,6268.742,10.892028
2459076.78721357,6282.8843,10.885164
2459076.788602443,6280.458,10.896446
2459076.789991316,6296.6777,10.892986
2459076.7913801894,6284.1455,10.891356
2459076.7927690623,6269.835,10.883771
2459076.794157936,6281.8657,10.90005
2459076.7955468087,6271.6284,10.894064
2459076.796935682,6281.1777,10.894376
2459076.798324555,6293.4023,10.899246
2459076.799713428,6284.836,10.8968935
2459076.8011023016,6298.149,10.896538
2459076.8024911745,6281.1147,10.891414
2459076.8038800475,6279.524,10.890356
2459076.805268921,6277.368,10.88342
2459076.806657794,6257.2397,10.874443
2459076.8080466674,6290.886,10.895772
2459076.8094355403,6274.77,10.893489
2459076.810824414,6278.544,10.88272
2459076.8122132868,6287.0996,10.899764
2459076.81360216,6270.472,10.895543
2459076.814991033,6271.9907,10.88166
2459076.816379906,6286.6035,10.89299
2459076.81776878,6272.5503,10.889815
2459076.819157653,6314.929,10.902727
2459076.820546525,6274.8857,10.891242
2459076.821935399,6274.318,10.880733
2459076.823324272,6280.213,10.894119
2459076.824713145,6265.134,10.88198
2459076.826102018,6293.887,10.903835
2459076.827490892,6268.5654,10.8881235
2459076.8288797643,6292.2476,10.895445
2459076.8302686373,6275.392,10.888395
2459076.8316575107,6291.3345,10.888595
2459076.833046384,6280.8037,10.887254
2459076.8344352567,6289.8154,10.89292
2459076.83582413,6280.6,10.898394
2459076.837213003,6292.809,10.891991
2459076.838601876,6291.355,10.894767
2459076.839990749,6292.736,10.89392
2459076.8413796225,6298.7544,10.906578
2459076.8427684954,6301.938,10.900802
2459076.844157369,6273.886,10.884221
2459076.8455462414,6285.174,10.897668
2459076.846935115,6290.7324,10.897521
2459076.848323988,6277.6694,10.898156
2459076.849712861,6281.058,10.8944235
2459076.8511017337,6271.2354,10.884577
2459076.852490607,6283.874,10.891372
2459076.85387948,6296.081,10.896334
2459076.855268353,6275.3833,10.897328
2459076.856657226,6272.654,10.887434
2459076.8580460995,6265.072,10.883008
2459076.8594349725,6286.142,10.894976
2459076.860823845,6273.1436,10.887016
2459076.8622127185,6280.8687,10.88908
2459076.863601592,6282.5825,10.883576
2459076.864990465,6278.2583,10.894297
2459076.866379338,6288.355,10.894553
2459076.867768211,6287.431,10.89992
2459076.869157084,6270.4883,10.888197
2459076.870545957,6293.538,10.899168
2459076.87193483,6286.071,10.89159
2459076.873323703,6300.5703,10.895294
2459076.874712576,6290.5176,10.893143
2459076.876101449,6283.6357,10.894853
2459076.877490322,6274.8433,10.892665
2459076.8788791955,6285.869,10.89033
2459076.8802680685,6303.7324,10.905679
2459076.881656941,6276.612,10.893848
2459076.8830458145,6296.1284,10.908928
2459076.8844346874,6282.9053,10.89636
2459076.8858235604,6266.5176,10.88686
2459076.8872124334,6281.6274,10.890248
2459076.8886013064,6288.801,10.893401
2459076.88999018,6270.411,10.886061
2459076.8913790523,6274.93,10.887665
2459076.8927679257,6298.0654,10.895311
2459076.8941567987,6289.4746,10.897669
2459076.895545672,6265.32,10.878925
2459076.8969345447,6298.567,10.892591
2459076.8983234176,6270.914,10.896517
2459076.8997122906,6291.4893,10.900321
2459076.901101164,6282.782,10.893206
2459076.902490037,6273.8003,10.884402
2459076.903878909,6275.1978,10.882209
2459076.905267783,6271.6704,10.887654
2459076.9066566555,6263.8994,10.88268
2459076.9080455285,6284.884,10.896513
2459076.909434402,6271.8467,10.887566
2459076.910823275,6290.7944,10.893368
2459076.912212148,6276.1245,10.888608
2459076.913601021,6283.637,10.894264
2459076.914989894,6282.375,10.892202
2459076.9163787668,6272.7285,10.891644
2459076.91776764,6284.4414,10.89253
2459076.9191565127,6305.9106,10.906004
2459076.9205453857,6259.2607,10.883654
2459076.9219342587,6277.2827,10.885956
2459076.923323132,6276.1226,10.8904705
2459076.9247120046,6277.2637,10.884325
2459076.9261008776,6289.7583,10.892982
2459076.9274897506,6283.199,10.898854
2459076.9288786235,6280.4155,10.895056
2459076.9302674965,6263.4805,10.87909
2459076.931656369,6277.461,10.893127
2459076.9330452424,6297.833,10.89527
2459076.9344341154,6295.772,10.899375
2459076.9358229884,6276.0356,10.883777
2459076.937211861,6304.781,10.903445
2459076.938600734,6296.229,10.893416
2459076.939989608,6292.9966,10.899317
2459076.9413784803,6272.347,10.885336
2459076.942767353,6282.7827,10.892428
2459076.944156226,6273.1694,10.89003
2459076.9455450987,6276.2456,10.887854
2459076.946933972,6268.676,10.886494
2459076.9483228447,6291.9297,10.906501
2459076.9497117177,6285.8184,10.890719
2459076.95110059,6288.846,10.891517
2459076.952489464,6280.8145,10.885888
2459076.9538783366,6288.7046,10.896397
2459076.9552672096,6284.279,10.894217
2459076.9566560825,6280.649,10.90088
2459076.958044955,6289.771,10.889267
2459076.959433828,6289.1323,10.91255
2459076.960822701,6278.085,10.883791
2459076.962211574,6274.1484,10.888789
2459076.963600447,6290.409,10.891589
2459076.96498932,6289.728,10.89387
2459076.966378193,6295.197,10.892116
2459076.9677670654,6277.4087,10.882025
2459076.9691559384,6280.4023,10.890838
2459076.970544812,6286.22,10.898113
2459076.9719336843,6283.493,10.893391
2459076.9733225573,6280.361,10.894
2459076.9747114303,6305.2305,10.902451
2459076.976100303,6273.047,10.889874
2459076.977489176,6261.1406,10.885886
2459076.9788780487,6271.9106,10.886472
