Time,Flux,Flux_err
2459082.037141415,6282.9854,11.036557
2459082.0385302817,6275.7485,11.034649
2459082.039919148,6279.1685,11.0384035
2459082.041308015,6283.876,11.043531
2459082.042696882,6273.93,11.03439
2459082.044085749,6262.6543,11.028176
2459082.045474616,6304.657,11.052732
2459082.046863483,6297.6235,11.04903
2459082.0482523497,6281.9116,11.043263
2459082.049641216,6284.062,11.034522
2459082.051030083,6297.2188,11.039657
2459082.05241895,6287.198,11.05156
2459082.053807817,6280.3374,11.034464
2459082.0551966834,6277.6685,11.03589
2459082.0565855503,6276.0713,11.042548
2459082.057974417,6301.0767,11.049355
2459082.059363284,6295.604,11.043756
2459082.0607521506,6287.821,11.044882
2459082.062141017,6305.7437,11.053071
2459082.0635298844,6293.9756,11.038749
2459082.064918751,6278.6353,11.048275
2459082.066307618,6289.6377,11.040765
2459082.0676964847,6277.812,11.043157
2459082.069085352,6291.4614,11.044048
2459082.070474218,6286.5444,11.03627
2459082.071863085,6304.951,11.051596
2459082.073251952,6284.364,11.045356
2459082.074640819,6272.9614,11.039066
2459082.0760296853,6280.2505,11.044605
2459082.077418552,6296.9624,11.048286
2459082.078807419,6274.7646,11.035248
2459082.080196286,6274.964,11.034046
2459082.0815851525,6300.8037,11.059099
2459082.0829740195,6280.626,11.040659
2459082.0843628864,6275.5635,11.044244
2459082.085751753,6282.742,11.044781
2459082.08714062,6261.423,11.031668
2459082.0885294867,6312.7993,11.060967
2459082.0899183536,6294.4863,11.048611
2459082.09130722,6281.1436,11.04284
2459082.092696087,6279.507,11.048527
2459082.094084954,6274.9053,11.039961
2459082.0954738203,6284.919,11.045215
2459082.0968626877,6277.7876,11.04179
2459082.098251554,6283.05,11.04563
2459082.0996404206,6271.255,11.038866
2459082.101029288,6285.2524,11.050329
2459082.102418154,6282.733,11.048471
2459082.103807021,6283.213,11.050955
2459082.105195888,6255.7793,11.032908
2459082.1065847543,6284.4604,11.046188
2459082.107973621,6295.919,11.052878
2459082.109362488,6280.1523,11.036213
2459082.110751355,6259.851,11.037594
2459082.112140221,6289.057,11.056388
2459082.1135290884,6295.709,11.042757
2459082.114917956,6283.672,11.042413
2459082.116306822,6293.078,11.050601
2459082.1176956887,6296.174,11.049057
2459082.119084555,6268.813,11.040797
2459082.120473422,6297.855,11.064165
2459082.121862289,6279.297,11.045841
2459082.1232511555,6279.4595,11.047219
2459082.1246400224,6277.3003,11.046627
2459082.1260288893,6301.496,11.062389
2459082.127417756,6299.0615,11.048056
2459082.1288066227,6282.896,11.04527
2459082.130195489,6290.2114,11.058537
2459082.131584356,6297.129,11.048381
2459082.1329732225,6265.818,11.042922
2459082.134362089,6281.8296,11.045116
2459082.1357509564,6275.4966,11.041353
2459082.137139823,6260.084,11.049966
2459082.1385286897,6277.5356,11.046045
2459082.139917556,6292.313,11.047145
2459082.141306423,6290.383,11.04738
2459082.1426952896,6275.406,11.041842
2459082.1440841565,6270.256,11.043058
2459082.1454730234,6296.7407,11.055762
2459082.14686189,6294.4766,11.069836
2459082.148250757,6290.1987,11.053027
2459082.1496396232,6285.8623,11.049497
2459082.15102849,6274.316,11.0456085
2459082.1524173566,6276.6235,11.049753
2459082.1538062235,6271.5693,11.045889
2459082.1551950905,6268.092,11.0454
2459082.156583957,6278.4697,11.051033
2459082.157972824,6300.3433,11.057477
2459082.1593616903,6254.7134,11.043142
2459082.160750557,6278.8574,11.046446
2459082.162139424,6270.9683,11.045923
2459082.1635282906,6294.865,11.063351
2459082.164917157,6284.459,11.062112
2459082.166306024,6263.127,11.043503
2459082.1676948904,6279.692,11.05416
2459082.1690837573,6277.099,11.04165
2459082.170472624,6287.9697,11.050914
2459082.1718614907,6275.8413,11.051773
2459082.173250357,6291.871,11.055953
2459082.174639224,6269.412,11.049152
2459082.176028091,6280.6777,11.055216
2459082.177416957,6280.808,11.061771
2459082.178805824,6266.6616,11.043533
2459082.180194691,6274.3403,11.048288
2459082.1815835577,6267.1406,11.045664
2459082.182972424,6272.865,11.0445385
2459082.1843612907,6291.224,11.052768
2459082.1857501576,6269.1978,11.045363
2459082.1871390245,6288.9785,11.054364
2459082.188527891,6274.2114,11.049604
2459082.1899167574,6289.668,11.048918
2459082.1913056243,6271.0312,11.047178
2459082.192694491,6280.422,11.039849
2459082.1940833577,6278.362,11.059308
2459082.195472224,6267.0684,11.041964
2459082.196861091,6280.0767,11.056804
2459082.198249957,6274.184,11.050436
2459082.199638824,6270.879,11.045549
2459082.201027691,6291.299,11.056764
2459082.202416558,6295.128,11.0491295
2459082.2038054243,6284.7866,11.058949
2459082.2051942907,6267.4307,11.0443325
2459082.2065831576,6271.343,11.040616
2459082.207972024,6295.971,11.055542
2459082.2093608906,6285.174,11.053896
2459082.210749757,6277.0894,11.045181
2459082.2121386244,6278.2974,11.044381
2459082.213527491,6265.1377,11.046818
2459082.2149163573,6267.06,11.045315
2459082.216305224,6289.023,11.051484
2459082.2176940907,6284.3467,11.048941
2459082.219082957,6288.552,11.055908
2459082.220471824,6284.659,11.047836
2459082.2218606905,6279.7285,11.044075
2459082.2232495574,6307.0825,11.057253
2459082.224638424,6274.3916,11.045083
2459082.226027291,6273.445,11.0401
2459082.2274161573,6291.475,11.061353
2459082.228805024,6293.03,11.048658
2459082.2301938906,6277.584,11.048033
2459082.231582757,6284.15,11.046965
2459082.232971624,6296.4697,11.051775
2459082.2343604905,6288.2446,11.049694
2459082.235749357,6288.015,11.0433035
2459082.237138224,6297.4653,11.05241
2459082.2385270903,6293.805,11.04971
