Time,Flux,Flux_err
2459051.252491261,6248.8467,11.012691
2459051.253880164,6213.642,10.988854
2459051.255269067,6224.193,11.018809
2459051.25665797,6218.3076,10.986843
2459051.258046873,6232.0845,11.009932
2459051.259435776,6232.8413,11.001131
2459051.2608246794,6227.1313,10.996254
2459051.262213582,6242.1016,11.000573
2459051.2636024854,6222.258,10.996925
2459051.264991388,6209.925,10.977592
2459051.2663802914,6227.012,10.991595
2459051.2677691947,6226.3237,10.992905
2459051.269158097,6231.591,10.993721
2459051.2705470007,6232.8184,11.00041
2459051.2719359035,6253.978,11.011019
2459051.2733248062,6232.1416,10.9973955
2459051.274713709,6227.128,10.994072
2459051.2761026123,6219.766,10.991128
2459051.2774915155,6219.4453,10.9884615
2459051.2788804187,6241.5264,11.004899
2459051.280269321,6231.0337,11.00289
2459051.2816582248,6239.0073,10.993546
2459051.2830471275,6231.8013,11.007121
2459051.2844360303,6222.0317,10.989365
2459051.2858249336,6216.217,10.999869
2459051.2872138363,6223.8486,10.989217
2459051.28860274,6209.5776,10.987735
2459051.289991643,6229.242,11.001994
2459051.2913805456,6221.9307,10.991418
2459051.2927694484,6230.8633,10.988455
2459051.294158352,6234.0,10.99268
2459051.2955472544,6229.6455,10.996418
2459051.2969361576,6215.9453,10.99573
2459051.2983250604,6239.464,11.0022955
2459051.299713964,6209.206,10.990703
2459051.3011028664,6224.3047,10.991039
2459051.302491769,6230.9487,10.992516
2459051.3038806724,6227.134,10.992781
2459051.305269575,6225.3228,10.985321
2459051.3066584785,6213.5435,10.986892
2459051.308047381,6212.4487,10.998635
2459051.3094362845,6221.9106,10.989343
2459051.3108251872,6218.6367,10.993687
2459051.3122140905,6239.5645,11.004286
2459051.3136029933,6213.639,10.988354
2459051.314991896,6198.4526,10.997958
2459051.3163807997,6230.08,10.98971
2459051.317769702,6232.765,10.996535
2459051.3191586053,6218.551,10.986905
2459051.320547508,6227.302,10.9871645
2459051.321936411,6226.443,10.98974
2459051.323325314,6249.23,11.003365
2459051.324714217,6233.01,10.994224
2459051.32610312,6233.4644,10.994271
2459051.327492023,6234.8037,11.001653
2459051.3288809257,6226.5024,10.9972315
2459051.330269829,6233.391,10.997042
2459051.331658732,6216.4785,10.991313
2459051.3330476345,6212.543,10.987397
2459051.3344365377,6246.264,11.004026
2459051.3358254405,6216.005,10.991728
2459051.3372143432,6247.1753,10.998021
2459051.338603246,6233.0967,11.012898
2459051.3399921493,6225.9634,10.991365
2459051.341381052,6207.6387,10.985558
2459051.342769955,6228.286,10.98714
2459051.344158858,6221.4487,10.987745
2459051.345547761,6228.0913,10.986069
2459051.346936664,6199.16,10.979432
2459051.348325567,6229.702,10.999206
2459051.3497144696,6222.135,10.991746
2459051.3511033724,6210.285,10.982728
2459051.352492276,6212.216,10.98674
2459051.3538811784,6214.5024,10.987564
2459051.355270081,6207.5654,10.994061
2459051.356658984,6216.9263,10.987891
2459051.358047887,6224.618,10.991847
2459051.35943679,6214.982,10.994623
2459051.360825693,6232.978,10.996824
2459051.362214596,6231.209,11.003035
2459051.363603499,6232.602,11.001958
2459051.3649924016,6235.359,11.000849
2459051.366381305,6236.5137,10.996538
2459051.367770208,6232.7354,10.9981365
2459051.3691591104,6227.326,11.000446
2459051.370548013,6224.472,10.992912
2459051.371936916,6239.9023,10.989331
2459051.373325819,6221.651,10.988314
2459051.374714722,6217.3223,10.988644
2459051.3761036247,6231.075,10.993912
2459051.377492528,6217.9365,10.996036
2459051.3788814303,6232.6396,10.997618
2459051.380270333,6235.16,10.999043
2459051.3816592363,6221.6777,10.997391
2459051.383048139,6237.348,10.99708
2459051.3844370423,6233.6978,10.998481
2459051.385825945,6205.547,10.980039
2459051.387214848,6216.1875,10.990462
2459051.3886037506,6215.853,10.987036
2459051.3899926534,6238.9067,11.00044
2459051.391381556,6227.7974,10.990736
2459051.3927704594,6237.5054,11.003216
2459051.394159362,6224.226,10.9912195
2459051.395548265,6228.0605,11.000521
2459051.396937168,6229.2056,10.995046
2459051.3983260705,6232.0044,11.00041
2459051.3997149738,6232.8716,10.999495
2459051.401103876,6208.305,10.988255
2459051.40249278,6219.7363,10.988436
2459051.403881682,6189.8726,10.9876175
2459051.405270585,6226.3306,10.990868
2459051.406659488,6214.9004,10.990368
2459051.4080483904,6241.192,10.99928
2459051.409437293,6229.8867,10.99989
2459051.4108261964,6208.119,10.982573
2459051.412215099,6223.576,11.003861
2459051.413604002,6220.773,10.989651
2459051.4149929048,6220.4834,10.991218
2459051.4163818075,6233.437,10.997925
2459051.4177707103,6230.9634,11.003012
2459051.419159613,6241.405,10.997762
2459051.420548516,6226.326,10.99746
2459051.421937419,6235.352,10.999498
2459051.423326322,6238.368,11.000847
2459051.4247152247,6212.9023,10.993361
2459051.4261041274,6221.3364,10.993987
2459051.42749303,6224.478,10.994976
2459051.428881933,6215.247,10.989922
2459051.430270836,6237.915,11.003645
2459051.4316597385,6223.1704,10.988335
2459051.4330486413,6213.8184,10.992725
2459051.434437544,6217.201,10.991338
2459051.435826447,6202.253,10.989243
2459051.43721535,6232.0747,11.00284
2459051.4386042524,6230.3184,11.004995
2459051.439993156,6241.4634,11.002076
2459051.441382058,6230.317,11.013739
2459051.442770961,6210.4653,11.001262
2459051.444159864,6227.391,10.991304
2459051.4455487668,6237.8237,11.012834
2459051.446937669,6200.962,10.996061
2459051.448326572,6219.0938,10.995048
2459051.449715475,6225.1265,10.99578
2459051.451104378,6222.7627,11.001428
2459051.4524932806,6222.743,11.00665
2459051.4538821834,6224.458,10.995884
2459051.455271086,6230.5073,11.001635
2459051.456659989,6235.28,11.007846
2459051.458048892,6227.038,11.000691
2459051.4594377945,6204.9194,11.003033
2459051.4608266973,6233.968,11.009427
2459051.4622156,6194.089,10.986314
2459051.463604503,6218.082,10.992606
2459051.4649934056,6227.8916,11.002147
2459051.4663823084,6203.7666,11.004687
2459051.467771211,6213.355,10.992876
2459051.469160114,6238.9653,11.021068
2459051.4705490163,6225.553,11.000917
2459051.4719379195,6231.7607,11.003206
2459051.4733268223,6205.4785,10.991927
2459051.4747157246,6219.493,10.991497
2459051.476104628,6224.7144,11.001867
2459051.4774935306,6193.2114,10.980355
2459051.478882433,6185.962,10.977076
2459051.480271336,6164.1973,10.97053
2459051.4816602385,6166.7734,10.978947
2459051.483049141,6157.28,10.970287
2459051.484438044,6143.1694,10.962346
2459051.485826947,6156.2744,10.95964
2459051.4872158496,6150.5537,10.960275
2459051.4886047523,6146.2563,10.959148
2459051.489993655,6118.092,10.946297
2459051.491382558,6134.5347,10.952519
2459051.49277146,6147.9653,10.964139
2459051.494160363,6106.0713,10.943312
2459051.4955492658,6113.1123,10.947408
2459051.4969381685,6141.188,10.958897
2459051.498327072,6141.6846,10.946019
2459051.499715974,6119.7383,10.951585
2459051.501104877,6131.133,10.953774
2459051.50249378,6136.9634,10.954919
2459051.503882682,6127.1807,10.951848
2459051.5052715847,6120.267,10.943388
2459051.5066604875,6113.881,10.938142
2459051.5080493903,6122.391,10.939544
2459051.509438293,6117.1094,10.947304
2459051.510827196,6130.9146,10.956287
2459051.5122160986,6117.8853,10.945485
2459051.5136050014,6117.8174,10.950927
2459051.514993904,6111.8794,10.945429
2459051.5163828065,6113.515,10.942693
2459051.517771709,6112.1113,10.944186
2459051.519160612,6110.103,10.948715
2459051.520549515,6116.816,10.954721
2459051.521938417,6125.854,10.955766
2459051.52332732,6127.7944,10.963485
2459051.5247162227,6111.652,10.952006
2459051.526105125,6122.6523,10.957685
2459051.527494028,6149.35,10.964848
2459051.528882931,6121.733,10.961534
2459051.5302718333,6128.173,10.950849
2459051.531660736,6134.4673,10.960535
2459051.533049639,6125.342,10.954901
2459051.5344385416,6116.6357,10.947866
2459051.5358274444,6125.882,10.951375
2459051.5372163467,6117.133,10.9443655
2459051.538605249,6115.9365,10.957588
2459051.5399941523,6120.126,10.953092
2459051.5413830546,6120.978,10.95406
2459051.5427719573,6133.374,10.956875
2459051.54416086,6118.5474,10.950243
