Parameter,Best,Lower_error,Upper_error
a,10.21139908210047,-0.7010961879956046,0.1038505747963967
inc,88.4574777799772,-0.5538498635646931,0.43541493626580063
rp,0.1182199937001056,-0.003374268470132391,0.0005868920213542433
q0,0.1991690464277119,-0.12332004787859725,0.5601414464693826
q1,0.8322784550071713,-0.5408329358665129,0.11163297102081104
